ID_Pedido,Data_Pedido,Nome_Produto,Categoria,Preco_Unitario,Quantidade,ID_Cliente,Cidade,Estado
1000,2025-01-01 23:00:00,Batom Matte,Maquiagem,85.0,1,160,Manaus,AM
1001,2025-01-01 12:00:00,Perfume Elegance,Perfumaria,350.0,6,189,Rio de Janeiro,RJ
1002,2025-01-01 00:00:00,Base Lux,Maquiagem,80.0,8,226,Curitiba,PR
1003,2025-01-01 16:00:00,Perfume Bloom,Perfumaria,100.0,9,211,Porto Alegre,RS
1004,2025-01-01 10:00:00,Perfume Elegance,Perfumaria,350.0,3,189,Manaus,AM
1005,2025-01-02 05:00:00,Perfume Elegance,Perfumaria,350.0,4,218,Salvador,BA
1006,2025-01-02 02:00:00,Perfume Elegance,Perfumaria,350.0,1,172,São Paulo,SP
1007,2025-01-02 12:00:00,Condicionador Luxo,Banho,57.77,7,127,Manaus,AM
1008,2025-01-02 21:00:00,Condicionador Luxo,Banho,55.91,1,218,Manaus,AM
1009,2025-01-02 06:00:00,Gloss Crystal,Maquiagem,50.0,6,220,Manaus,AM
1010,2025-01-03 04:00:00,Gloss Crystal,Maquiagem,50.0,5,191,Rio de Janeiro,RJ
1011,2025-01-03 15:00:00,Perfume Elegance,Perfumaria,350.0,3,142,Salvador,BA
1012,2025-01-03 18:00:00,Perfume Elegance,Perfumaria,350.0,5,248,Belo Horizonte,MG
1013,2025-01-03 02:00:00,Perfume Aurora,Perfumaria,150.0,4,153,São Luís,MA
1014,2025-01-03 13:00:00,Esfoliante Premium,Banho,49.5,3,228,Belém,PA
1015,2025-01-04 04:00:00,Condicionador Luxo,Banho,57.93,2,194,Manaus,AM
1016,2025-01-04 04:00:00,Batom Matte,Maquiagem,85.0,2,122,Manaus,AM
1017,2025-01-04 22:00:00,Perfume Bloom,Perfumaria,100.0,7,131,Curitiba,PR
1018,2025-01-04 13:00:00,Batom Matte,Maquiagem,85.0,8,168,Belém,PA
1019,2025-01-04 03:00:00,Esfoliante Premium,Banho,49.6,1,172,Porto Alegre,RS
1020,2025-01-05 01:00:00,Gloss Crystal,Maquiagem,50.0,5,240,São Luís,MA
1021,2025-01-05 15:00:00,Batom Matte,Maquiagem,85.0,3,189,Belém,PA
1022,2025-01-05 15:00:00,Esfoliante Premium,Banho,46.8,9,232,São Paulo,SP
1023,2025-01-05 19:00:00,Gloss Crystal,Maquiagem,50.0,9,215,Curitiba,PR
1024,2025-01-05 03:00:00,Perfume Aurora,Perfumaria,150.0,1,235,Fortaleza,CE
1025,2025-01-06 06:00:00,Gloss Crystal,Maquiagem,50.0,7,241,Salvador,BA
1026,2025-01-06 12:00:00,Esfoliante Premium,Banho,46.53,9,159,Belo Horizonte,MG
1027,2025-01-06 18:00:00,Perfume Elegance,Perfumaria,350.0,9,156,São Luís,MA
1028,2025-01-06 04:00:00,Perfume Elegance,Perfumaria,350.0,3,205,São Luís,MA
1029,2025-01-06 02:00:00,Base Lux,Maquiagem,80.0,6,231,Manaus,AM
1030,2025-01-07 12:00:00,Gloss Crystal,Maquiagem,50.0,5,147,Belo Horizonte,MG
1031,2025-01-07 00:00:00,Perfume Bloom,Perfumaria,100.0,9,171,São Luís,MA
1032,2025-01-07 05:00:00,Esfoliante Premium,Banho,46.62,2,108,São Luís,MA
1033,2025-01-07 16:00:00,Base Lux,Maquiagem,80.0,7,145,São Paulo,SP
1034,2025-01-07 21:00:00,Condicionador Luxo,Banho,55.13,7,163,Curitiba,PR
1035,2025-01-08 20:00:00,Gloss Crystal,Maquiagem,50.0,6,129,São Paulo,SP
1036,2025-01-08 05:00:00,Perfume Aurora,Perfumaria,150.0,4,108,Belo Horizonte,MG
1037,2025-01-08 05:00:00,Condicionador Luxo,Banho,59.59,5,214,São Paulo,SP
1038,2025-01-08 01:00:00,Perfume Elegance,Perfumaria,350.0,1,148,Belém,PA
1039,2025-01-08 05:00:00,Gloss Crystal,Maquiagem,50.0,9,170,Belém,PA
1040,2025-01-09 06:00:00,Perfume Bloom,Perfumaria,100.0,6,102,Curitiba,PR
1041,2025-01-09 20:00:00,Perfume Aurora,Perfumaria,150.0,9,241,Salvador,BA
1042,2025-01-09 06:00:00,Perfume Elegance,Perfumaria,350.0,9,194,Curitiba,PR
1043,2025-01-09 09:00:00,Perfume Bloom,Perfumaria,100.0,8,158,Manaus,AM
1044,2025-01-09 15:00:00,Perfume Aurora,Perfumaria,150.0,8,114,Fortaleza,CE
1045,2025-01-10 06:00:00,Batom Matte,Maquiagem,85.0,2,180,Salvador,BA
1046,2025-01-10 00:00:00,Perfume Aurora,Perfumaria,150.0,3,140,São Paulo,SP
1047,2025-01-10 22:00:00,Esfoliante Premium,Banho,48.76,4,199,São Paulo,SP
1048,2025-01-10 17:00:00,Esfoliante Premium,Banho,45.14,5,234,São Luís,MA
1049,2025-01-10 05:00:00,Gloss Crystal,Maquiagem,50.0,2,192,Belém,PA
1050,2025-01-11 14:00:00,Condicionador Luxo,Banho,55.39,9,175,São Paulo,SP
1051,2025-01-11 07:00:00,Perfume Bloom,Perfumaria,100.0,8,101,Belo Horizonte,MG
1052,2025-01-11 07:00:00,Esfoliante Premium,Banho,46.46,8,189,Fortaleza,CE
1053,2025-01-11 13:00:00,Gloss Crystal,Maquiagem,50.0,4,219,Rio de Janeiro,RJ
1054,2025-01-11 18:00:00,Perfume Aurora,Perfumaria,150.0,1,117,São Luís,MA
1055,2025-01-12 23:00:00,Perfume Aurora,Perfumaria,150.0,2,224,Rio de Janeiro,RJ
1056,2025-01-12 12:00:00,Esfoliante Premium,Banho,48.67,7,113,Fortaleza,CE
1057,2025-01-12 00:00:00,Batom Matte,Maquiagem,85.0,1,115,Belo Horizonte,MG
1058,2025-01-12 06:00:00,Condicionador Luxo,Banho,56.18,2,240,São Paulo,SP
1059,2025-01-12 05:00:00,Perfume Elegance,Perfumaria,350.0,7,136,Belo Horizonte,MG
1060,2025-01-13 10:00:00,Perfume Aurora,Perfumaria,150.0,6,162,Belo Horizonte,MG
1061,2025-01-13 21:00:00,Gloss Crystal,Maquiagem,50.0,3,210,Curitiba,PR
